author,color,group,id
JohannesVermeer,"#0C0B10,#707DA6,#CCAD9D,#B08E4A,#863B34",V,0
JohannesVermeer,"#022F69,#D6C17A,#D8D0BE,#6B724B,#7C3E2F",V,1
AndyWarhol,"#F26386,#F588AF,#A4D984,#FCBC52,#FD814E",W,0
AndyWarhol,"#FD0C81,#FFED4D,#C34582,#EBA49E,#272324",W,1
AndyWarhol,"#D32934,#2F191B,#2BAA92,#D12E6C,#F4BCB9",W,2
AndyWarhol,"#a99364,#da95aa,#f4f0e4,#b74954,#c2ddb2",W,3
GrantWood,"#A6BDB0,#8B842F,#41240B,#9C4823,#D6AA7E",W,0
FrancescoXanto,"#2C6AA5,#D9AE2C,#DDC655,#D88C27,#64894D",X,0
JackYoungerman,"#59A55D,#EFDB56,#7D9DC6,#ECA23F,#CA4D2A",Y,0
KarlZerbe,"#46734F,#CAAB6C,#D0CCAF,#617F97,#9A352D",Z,0
