index,db,name,tissue,ann,ann_simplify,CL,translate
HCL_Intestine_Absorptive cell,HCL,Adult-JeJunum2,Intestine,Absorptive cell,Absorptive cell,enterocyte,肠上皮细胞
MCA_Intestine_Acinar cell,MCA,Fetal-Intestine,Intestine,Acinar cell,Acinar cell,acinar cell,腺泡细胞
MCA_Intestine_Acinar cell,MCA,Neonatal-Intestine,Intestine,Acinar cell,Acinar cell,acinar cell,腺泡细胞
MCA_Liver_Acinar cell,MCA,Three-Weeks-Liver,Liver,Acinar cell,Acinar cell,acinar cell,腺泡细胞
MCA_Omentum_Acinar cell,MCA,Adult-Omentum,Omentum,Acinar cell,Acinar cell,acinar cell,腺泡细胞
HCL_Pancreas_Acinar cell,HCL,Adult-Pancreas_Baron,Pancreas,Acinar cell,Acinar cell,acinar cell,腺泡细胞
HCL_Pancreas_Acinar cell,HCL,Adult-Pancreas_Segerstolpe,Pancreas,Acinar cell,Acinar cell,acinar cell,腺泡细胞
HCL_Pancreas_Acinar cell,HCL,Adult-Pancreas_Muraro,Pancreas,Acinar cell,Acinar cell,acinar cell,腺泡细胞
MCA_Pancreas_Acinar cell,MCA,Adult-Pancreas,Pancreas,Acinar cell,Acinar cell,acinar cell,腺泡细胞
MCA_Pancreas_Acinar cell,MCA,Eighteen-Months-Pancreas,Pancreas,Acinar cell,Acinar cell,acinar cell,腺泡细胞
MCA_Pancreas_Acinar cell,MCA,Fetal-Pancreas,Pancreas,Acinar cell,Acinar cell,acinar cell,腺泡细胞
MCA_Pancreas_Acinar cell,MCA,Three-Weeks-Pancreas,Pancreas,Acinar cell,Acinar cell,acinar cell,腺泡细胞
MCA_Pancreas_Acinar cell,MCA,One-Year-Pancreas,Pancreas,Acinar cell,Acinar cell,acinar cell,腺泡细胞
MCA_Stomach_Acinar cell,MCA,Fetal-Stomach,Stomach,Acinar cell,Acinar cell,glandular cell of stomach,胃腺细胞
MCA_Stomach_Acinar cell,MCA,Two-Years-Stomach,Stomach,Acinar cell,Acinar cell,glandular cell of stomach,胃腺细胞
HCL_Pancreas_Acinar cell_ANXA4 high,HCL,Adult-Pancreas1,Pancreas,Acinar cell_ANXA4 high,Acinar cell,acinar cell,腺泡细胞
HCL_Pancreas_Acinar cell_CLPS high,HCL,Fetal-Pancreas2,Pancreas,Acinar cell_CLPS high,Acinar cell,acinar cell,腺泡细胞
HCL_Pancreas_Acinar cell_CPA1 high,HCL,Adult-Pancreas1,Pancreas,Acinar cell_CPA1 high,Acinar cell,acinar cell,腺泡细胞
HCL_Pancreas_Acinar cell_CPA2 high,HCL,Fetal-Pancreas3,Pancreas,Acinar cell_CPA2 high,Acinar cell,acinar cell,腺泡细胞
HCL_Pancreas_Acinar cell_CPA2 high,HCL,Fetal-Pancreas2,Pancreas,Acinar cell_CPA2 high,Acinar cell,acinar cell,腺泡细胞
HCL_Pancreas_Acinar cell_REG1B high,HCL,Adult-Pancreas1,Pancreas,Acinar cell_REG1B high,Acinar cell,acinar cell,腺泡细胞
MCA_Pancreas_Activated stellate,MCA,Pancreatic-Islet,Pancreas,Activated stellate,Activated stellate,pancreatic stellate cell,胰腺星状细胞
HCL_Liver_Activated T cell,HCL,Adult-Liver1,Liver,Activated T cell,Activated T cell,T cell,T细胞
HCL_Liver_Activated T cell,HCL,Adult-Liver4,Liver,Activated T cell,Activated T cell,T cell,T细胞
HCL_Liver_Activated T cell,HCL,Adult-Liver2,Liver,Activated T cell,Activated T cell,T cell,T细胞
HCL_Peripheral-Blood_Activated T cell,HCL,Adult-Peripheral-Blood4,Peripheral-Blood,Activated T cell,Activated T cell,T cell,T细胞
HCL_Thymus_Activated T cell,HCL,Fetal-Thymus2,Thymus,Activated T cell,Activated T cell,T cell,T细胞
HCL_Thymus_Activated T cell,HCL,Fetal-Thymus1,Thymus,Activated T cell,Activated T cell,T cell,T细胞
HCL_Pancreas_Activated_stellate cell,HCL,Adult-Pancreas_Baron,Pancreas,Activated_stellate cell,Activated_stellate cell,pancreatic stellate cell,胰腺星状细胞
HCL_Lung_Actived T cell,HCL,Adult-Lung3,Lung,Actived T cell,Actived T cell,T cell,T细胞
MCA_Placenta_Actived T cell,MCA,Placenta,Placenta,Actived T cell,Actived T cell,T cell,T细胞
MCA_Prostate_Actived T cell,MCA,Eighteen-Months-Prostate,Prostate,Actived T cell,Actived T cell,T cell,T细胞
MCA_Thymus_Actived T cell,MCA,Adult-Thymus,Thymus,Actived T cell,Actived T cell,T cell,T细胞
MCA_Thymus_Actived T cell,MCA,Eighteen-Months-Thymus,Thymus,Actived T cell,Actived T cell,T cell,T细胞
HCL_Adrenal-Gland_Adenocarcinoma epithelial cell,HCL,Fetal-Adrenal-Gland2,Adrenal-Gland,Adenocarcinoma epithelial cell,Adenocarcinoma epithelial cell,epithelial cell,上皮细胞
MCA_Heart_Adipocyte,MCA,Three-Weeks-Heart,Heart,Adipocyte,Adipocyte,fat cell,脂肪细胞
MCA_Skin_Adipocyte,MCA,Neonatal-Skin,Skin,Adipocyte,Adipocyte,fat cell,脂肪细胞
MCA_Muscle_Adipocyte_Cfd high,MCA,Neonatal-Muscle,Muscle,Adipocyte_Cfd high,Adipocyte,fat cell,脂肪细胞
MCA_Muscle_Adipocyte_Cidea high,MCA,Neonatal-Muscle,Muscle,Adipocyte_Cidea high,Adipocyte,fat cell,脂肪细胞
HCL_Muscle_Adipose tissue,HCL,Adult-Muscle1,Muscle,Adipose tissue,Adipose tissue,fat cell,脂肪细胞
HCL_Adrenal-Gland_Adrenocortical cell,HCL,Fetal-Adrenal-Gland4,Adrenal-Gland,Adrenocortical cell,Adrenocortical cell,cortical cell of adrenal gland,肾上腺皮质细胞
HCL_Adrenal-Gland_Adrenocortical cell,HCL,Fetal-Adrenal-Gland2,Adrenal-Gland,Adrenocortical cell,Adrenocortical cell,cortical cell of adrenal gland,肾上腺皮质细胞
HCL_Adrenal-Gland_Adrenocortical cell,HCL,Fetal-Adrenal-Gland3,Adrenal-Gland,Adrenocortical cell,Adrenocortical cell,cortical cell of adrenal gland,肾上腺皮质细胞
HCL_Liver_Adult hepatocyte,HCL,Liver_Camp,Liver,Adult hepatocyte,Adult hepatocyte,hepatocyte,肝细胞
MCA_Brain_AgRP neuron,MCA,Arc-ME,Brain,AgRP neuron,AgRP neuron,neural cell,神经细胞
HCL_Lung_Airway smooth muscle cell,HCL,Fetal-Lung2,Lung,Airway smooth muscle cell,Airway smooth muscle cell,smooth muscle cell,平滑肌细胞
HCL_Lung_Airway smooth muscle cell,HCL,Fetal-Lung1,Lung,Airway smooth muscle cell,Airway smooth muscle cell,smooth muscle cell,平滑肌细胞
MCA_Uterus_Aldh1a1 positive epithelial stem/progenitor cell,MCA,Neonatal-Uterus,Uterus,Aldh1a1 positive epithelial stem/progenitor cell,Aldh1a1 positive epithelial stem/progenitor cell,epithelial cell,上皮细胞
MCA_Thymus_Alpha beta T cell,MCA,Adult-Thymus,Thymus,Alpha beta T cell,Alpha beta T cell,T cell,T细胞
HCL_Pancreas_Alpha cell,HCL,Adult-Pancreas_Baron,Pancreas,Alpha cell,Alpha cell,pancreatic A cell,胰腺A细胞
HCL_Pancreas_Alpha cell,HCL,Adult-Pancreas_Segerstolpe,Pancreas,Alpha cell,Alpha cell,pancreatic A cell,胰腺A细胞
HCL_Pancreas_Alpha cell,HCL,Adult-Pancreas_Muraro,Pancreas,Alpha cell,Alpha cell,pancreatic A cell,胰腺A细胞
MCA_Pancreas_Alpha cell,MCA,Pancreatic-Islet,Pancreas,Alpha cell,Alpha cell,pancreatic A cell,胰腺A细胞
MCA_Lung_Alveolar bipotent progenitor cell,MCA,Adult-Lung,Lung,Alveolar bipotent progenitor cell,Alveolar bipotent progenitor cell,alveolar capillary type 2 endothelial cell,肺泡毛细血管2型内皮细胞
HCL_Lung_Alveolar bipotent/intermediate cell,HCL,Adult-Lung1,Lung,Alveolar bipotent/intermediate cell,Alveolar bipotent/intermediate cell,alveolar capillary type 2 endothelial cell,肺泡毛细血管2型内皮细胞
MCA_Lung_Alveolar macrophage,MCA,Eighteen-Months-Lung,Lung,Alveolar macrophage,Alveolar macrophage,macrophage,巨噬细胞
MCA_Lung_Alveolar macrophage,MCA,Fetal-Lung,Lung,Alveolar macrophage,Alveolar macrophage,macrophage,巨噬细胞
MCA_Lung_Alveolar macrophage,MCA,One-Year-Lung,Lung,Alveolar macrophage,Alveolar macrophage,macrophage,巨噬细胞
MCA_Lung_Alveolar macrophage,MCA,Ten-Days-Lung,Lung,Alveolar macrophage,Alveolar macrophage,macrophage,巨噬细胞
MCA_Lung_Alveolar macrophage_Chil3 high,MCA,Two-Years-Lung,Lung,Alveolar macrophage_Chil3 high,Alveolar macrophage,macrophage,巨噬细胞
MCA_Lung_Alveolar macrophage_Ear1 high,MCA,Two-Years-Lung,Lung,Alveolar macrophage_Ear1 high,Alveolar macrophage,macrophage,巨噬细胞
MCA_Lung_Alveolar macrophage_Ear2 high,MCA,Adult-Lung,Lung,Alveolar macrophage_Ear2 high,Alveolar macrophage,macrophage,巨噬细胞
MCA_Lung_Alveolar macrophage_Ear2 high,MCA,Neonatal-Lung,Lung,Alveolar macrophage_Ear2 high,Alveolar macrophage,macrophage,巨噬细胞
MCA_Lung_Alveolar macrophage_Ear2 high,MCA,Three-Weeks-Lung,Lung,Alveolar macrophage_Ear2 high,Alveolar macrophage,macrophage,巨噬细胞
MCA_Lung_Alveolar macrophage_Pclaf high,MCA,Adult-Lung,Lung,Alveolar macrophage_Pclaf high,Alveolar macrophage,macrophage,巨噬细胞
MCA_Lung_Alveolar macrophage_Spp1 high,MCA,Neonatal-Lung,Lung,Alveolar macrophage_Spp1 high,Alveolar macrophage,macrophage,巨噬细胞
MCA_Lung_Alveolar macrophage_Spp1 high,MCA,Two-Years-Lung,Lung,Alveolar macrophage_Spp1 high,Alveolar macrophage,macrophage,巨噬细胞
HCL_Stomach_Antigen presenting cell,HCL,Fetal-Stomach1,Stomach,Antigen presenting cell,Antigen presenting cell,dendritic cell,树突状细胞
HCL_Pancreas_Antigen presenting cell (MHC class II),HCL,Adult-Pancreas_Segerstolpe,Pancreas,Antigen presenting cell (MHC class II),Antigen presenting cell (MHC class II),dendritic cell,树突状细胞
HCL_Heart_Antigen-presenting cell,HCL,Fetal-Heart2,Heart,Antigen-presenting cell,Antigen-presenting cell,endothelial cell,内皮细胞
HCL_Heart_Antigen-presenting cell,HCL,Fetal-Heart1,Heart,Antigen-presenting cell,Antigen-presenting cell,endothelial cell,内皮细胞
MCA_Stomach_Antral mucous cell,MCA,Neonatal-Stomach,Stomach,Antral mucous cell,Antral mucous cell,mucous cell of stomach,胃粘膜细胞
HCL_Heart_Arterial endothelial cell,HCL,Fetal-Heart1,Heart,Arterial endothelial cell,Arterial endothelial cell,endothelial cell,内皮细胞
HCL_Lung_Arterial endothelial cell,HCL,Adult-Lung2,Lung,Arterial endothelial cell,Arterial endothelial cell,endothelial cell,内皮细胞
HCL_Lung_Arterial endothelial cell,HCL,Adult-Lung1,Lung,Arterial endothelial cell,Arterial endothelial cell,endothelial cell,内皮细胞
HCL_Pancreas_Arterial endothelial cell,HCL,Fetal-Pancreas2,Pancreas,Arterial endothelial cell,Arterial endothelial cell,endothelial cell,内皮细胞
HCL_Stomach_Arterial endothelial cell,HCL,Fetal-Stomach1,Stomach,Arterial endothelial cell,Arterial endothelial cell,endothelial cell,内皮细胞
HCL_Heart_Arterial endothelial cell_GJA5 high,HCL,Fetal-Heart2,Heart,Arterial endothelial cell_GJA5 high,Arterial endothelial cell,endothelial cell,内皮细胞
MCA_Kidney_Ascending loop of Henle,MCA,Eighteen-Months-Kidney,Kidney,Ascending loop of Henle,Ascending loop of Henle,kidney loop of Henle ascending limb epithelial cell,Henle升肢肾袢上皮细胞
MCA_Kidney_Ascending loop of Henle,MCA,One-Year-Kidney,Kidney,Ascending loop of Henle,Ascending loop of Henle,kidney loop of Henle ascending limb epithelial cell,Henle升肢肾袢上皮细胞
MCA_Kidney_Ascending loop of Henle,MCA,Ten-Days-Kidney,Kidney,Ascending loop of Henle,Ascending loop of Henle,kidney loop of Henle ascending limb epithelial cell,Henle升肢肾袢上皮细胞
MCA_Kidney_Ascending loop of Henle_Cldn10 high,MCA,Three-Weeks-Kidney,Kidney,Ascending loop of Henle_Cldn10 high,Ascending loop of Henle,kidney loop of Henle ascending limb epithelial cell,Henle升肢肾袢上皮细胞
MCA_Kidney_Ascending loop of Henle_Slc12a1 high,MCA,Neonatal-Kidney,Kidney,Ascending loop of Henle_Slc12a1 high,Ascending loop of Henle,kidney loop of Henle ascending limb epithelial cell,Henle升肢肾袢上皮细胞
MCA_Kidney_Ascending loop of Henle_Slc12a1 high,MCA,Two-Years-Kidney,Kidney,Ascending loop of Henle_Slc12a1 high,Ascending loop of Henle,kidney loop of Henle ascending limb epithelial cell,Henle升肢肾袢上皮细胞
MCA_Kidney_Ascending loop of Henle_Tmem207 high,MCA,Three-Weeks-Kidney,Kidney,Ascending loop of Henle_Tmem207 high,Ascending loop of Henle,kidney loop of Henle ascending limb epithelial cell,Henle升肢肾袢上皮细胞
MCA_Kidney_Ascending loop of henle_Umod high,MCA,Adult-Kidney,Kidney,Ascending loop of henle_Umod high,Ascending loop of henle,kidney loop of Henle ascending limb epithelial cell,Henle升肢肾袢上皮细胞
MCA_Kidney_Ascending loop of Henle_Umod high,MCA,Neonatal-Kidney,Kidney,Ascending loop of Henle_Umod high,Ascending loop of Henle,kidney loop of Henle ascending limb epithelial cell,Henle升肢肾袢上皮细胞
MCA_Kidney_Ascending loop of Henle_Umod high,MCA,Three-Weeks-Kidney,Kidney,Ascending loop of Henle_Umod high,Ascending loop of Henle,kidney loop of Henle ascending limb epithelial cell,Henle升肢肾袢上皮细胞
HCL_Brain_Astrocyte,HCL,Fetal-Brain3,Brain,Astrocyte,Astrocyte,astrocyte,星形胶质细胞
HCL_Brain_Astrocyte,HCL,Adult-Cerebellum1,Brain,Astrocyte,Astrocyte,astrocyte,星形胶质细胞
HCL_Brain_Astrocyte,HCL,Adult-Temporal-Lobe1,Brain,Astrocyte,Astrocyte,astrocyte,星形胶质细胞
HCL_Brain_Astrocyte,HCL,Fetal-Brain_Zhong,Brain,Astrocyte,Astrocyte,astrocyte,星形胶质细胞
MCA_Brain_Astrocyte,MCA,Arc-ME,Brain,Astrocyte,Astrocyte,astrocyte,星形胶质细胞
MCA_Brain_Astrocyte,MCA,One-Year-Brain,Brain,Astrocyte,Astrocyte,astrocyte,星形胶质细胞
MCA_Brain_Astrocyte,MCA,Three-Weeks-Brain,Brain,Astrocyte,Astrocyte,astrocyte,星形胶质细胞
MCA_Brain_Astrocyte,MCA,Two-Years-Brain,Brain,Astrocyte,Astrocyte,astrocyte,星形胶质细胞
HCL_Brain_Astrocyte(Bergmann glia),HCL,Adult-Cerebellum1,Brain,Astrocyte(Bergmann glia),Astrocyte(Bergmann glia),astrocyte,星形胶质细胞
HCL_Brain_Astrocyte_ SLC1A2 high,HCL,Adult-Brain_Lake,Brain,Astrocyte_ SLC1A2 high,Astrocyte_ SLC1A2 high,astrocyte,星形胶质细胞
MCA_Brain_Astrocyte_Agt high,MCA,Adult-Brain,Brain,Astrocyte_Agt high,Astrocyte,astrocyte,星形胶质细胞
MCA_Brain_Astrocyte_Aldoc high,MCA,E18-Brain,Brain,Astrocyte_Aldoc high,Astrocyte,astrocyte,星形胶质细胞
MCA_Brain_Astrocyte_Ccnb1 high,MCA,E18-Brain,Brain,Astrocyte_Ccnb1 high,Astrocyte,astrocyte,星形胶质细胞
MCA_Brain_Astrocyte_Fabp7 high,MCA,Neonatal-Brain,Brain,Astrocyte_Fabp7 high,Astrocyte,astrocyte,星形胶质细胞
MCA_Brain_Astrocyte_Htra1 high,MCA,Eighteen-Months-Brain,Brain,Astrocyte_Htra1 high,Astrocyte,astrocyte,星形胶质细胞
MCA_Brain_Astrocyte_Id3 high,MCA,Neonatal-Brain,Brain,Astrocyte_Id3 high,Astrocyte,astrocyte,星形胶质细胞
MCA_Brain_Astrocyte_Mfe8 high,MCA,Adult-Brain,Brain,Astrocyte_Mfe8 high,Astrocyte,astrocyte,星形胶质细胞
MCA_Brain_Astrocyte_Mfge8 high,MCA,Ten-Days-Brain,Brain,Astrocyte_Mfge8 high,Astrocyte,astrocyte,星形胶质细胞
MCA_Brain_Astrocyte_Pla2g7 high,MCA,Adult-Brain,Brain,Astrocyte_Pla2g7 high,Astrocyte,astrocyte,星形胶质细胞
MCA_Brain_Astrocyte_Pla2g7 high,MCA,Neonatal-Brain,Brain,Astrocyte_Pla2g7 high,Astrocyte,astrocyte,星形胶质细胞
MCA_Brain_Astrocyte_Slc1a3 high,MCA,Adult-Brain,Brain,Astrocyte_Slc1a3 high,Astrocyte,astrocyte,星形胶质细胞
HCL_Brain_Astrocyte_SLC4A4 high,HCL,Adult-Brain_Lake,Brain,Astrocyte_SLC4A4 high,Astrocyte,astrocyte,星形胶质细胞
MCA_Brain_Astrocyte_Sparcl1 high,MCA,Ten-Days-Brain,Brain,Astrocyte_Sparcl1 high,Astrocyte,astrocyte,星形胶质细胞
HCL_Lung_AT1 cell,HCL,Adult-Lung2,Lung,AT1 cell,AT1 cell,alveolar capillary type 1 endothelial cell,肺泡毛细血管1型内皮细胞
HCL_Lung_AT1 cell,HCL,Adult-Lung3,Lung,AT1 cell,AT1 cell,alveolar capillary type 1 endothelial cell,肺泡毛细血管1型内皮细胞
MCA_Lung_AT1 cell,MCA,Adult-Lung,Lung,AT1 cell,AT1 cell,alveolar capillary type 1 endothelial cell,肺泡毛细血管1型内皮细胞
MCA_Lung_AT1 cell,MCA,Eighteen-Months-Lung,Lung,AT1 cell,AT1 cell,alveolar capillary type 1 endothelial cell,肺泡毛细血管1型内皮细胞
MCA_Lung_AT1 cell,MCA,Neonatal-Lung,Lung,AT1 cell,AT1 cell,alveolar capillary type 1 endothelial cell,肺泡毛细血管1型内皮细胞
MCA_Lung_AT1 Cell,MCA,One-Year-Lung,Lung,AT1 Cell,AT1 Cell,alveolar capillary type 1 endothelial cell,肺泡毛细血管1型内皮细胞
MCA_Lung_AT1 cell,MCA,Three-Weeks-Lung,Lung,AT1 cell,AT1 cell,alveolar capillary type 1 endothelial cell,肺泡毛细血管1型内皮细胞
MCA_Lung_AT1 cell,MCA,Two-Years-Lung,Lung,AT1 cell,AT1 cell,alveolar capillary type 1 endothelial cell,肺泡毛细血管1型内皮细胞
HCL_Lung_AT1 cell ,HCL,Adult-Lung1,Lung,AT1 cell ,AT1 cell ,alveolar capillary type 1 endothelial cell,肺泡毛细血管1型内皮细胞
MCA_Lung_AT1 cell_Ager high,MCA,Ten-Days-Lung,Lung,AT1 cell_Ager high,AT1 cell,alveolar capillary type 1 endothelial cell,肺泡毛细血管1型内皮细胞
MCA_Lung_AT1 cell_Cldn18 high,MCA,Ten-Days-Lung,Lung,AT1 cell_Cldn18 high,AT1 cell,alveolar capillary type 1 endothelial cell,肺泡毛细血管1型内皮细胞
HCL_Lung_AT2 cell,HCL,Adult-Lung2,Lung,AT2 cell,AT2 cell,alveolar capillary type 2 endothelial cell,肺泡毛细血管2型内皮细胞
HCL_Lung_AT2 cell,HCL,Adult-Lung1,Lung,AT2 cell,AT2 cell,alveolar capillary type 2 endothelial cell,肺泡毛细血管2型内皮细胞
HCL_Lung_AT2 cell,HCL,Adult-Lung3,Lung,AT2 cell,AT2 cell,alveolar capillary type 2 endothelial cell,肺泡毛细血管2型内皮细胞
MCA_Lung_AT2 cell,MCA,Adult-Lung,Lung,AT2 cell,AT2 cell,alveolar capillary type 2 endothelial cell,肺泡毛细血管2型内皮细胞
MCA_Lung_AT2 cell,MCA,Neonatal-Lung,Lung,AT2 cell,AT2 cell,alveolar capillary type 2 endothelial cell,肺泡毛细血管2型内皮细胞
MCA_Lung_AT2 cell,MCA,One-Year-Lung,Lung,AT2 cell,AT2 cell,alveolar capillary type 2 endothelial cell,肺泡毛细血管2型内皮细胞
MCA_Lung_AT2 cell,MCA,Ten-Days-Lung,Lung,AT2 cell,AT2 cell,alveolar capillary type 2 endothelial cell,肺泡毛细血管2型内皮细胞
MCA_Lung_AT2 Cell,MCA,Three-Weeks-Lung,Lung,AT2 Cell,AT2 Cell,alveolar capillary type 2 endothelial cell,肺泡毛细血管2型内皮细胞
MCA_Lung_AT2 cell,MCA,Two-Years-Lung,Lung,AT2 cell,AT2 cell,alveolar capillary type 2 endothelial cell,肺泡毛细血管2型内皮细胞
MCA_Lung_AT2 cell_Cxcl15 high,MCA,Eighteen-Months-Lung,Lung,AT2 cell_Cxcl15 high,AT2 cell,alveolar capillary type 2 endothelial cell,肺泡毛细血管2型内皮细胞
MCA_Lung_AT2 cell_mt high,MCA,Eighteen-Months-Lung,Lung,AT2 cell_mt high,AT2 cell,alveolar capillary type 2 endothelial cell,肺泡毛细血管2型内皮细胞
MCA_Heart_Atrial cardiomyocyte,MCA,Adult-Heart,Heart,Atrial cardiomyocyte,Atrial cardiomyocyte,cardiac muscle cell,心肌细胞
MCA_Heart_Atrial cardiomyocyte,MCA,Fetal-Heart,Heart,Atrial cardiomyocyte,Atrial cardiomyocyte,cardiac muscle cell,心肌细胞
MCA_Heart_Atrial cardiomyocyte,MCA,Neonatal-Heart,Heart,Atrial cardiomyocyte,Atrial cardiomyocyte,cardiac muscle cell,心肌细胞
MCA_Heart_Atrial cardiomyocyte,MCA,Ten-Days-Heart,Heart,Atrial cardiomyocyte,Atrial cardiomyocyte,cardiac muscle cell,心肌细胞
HCL_Heart_Atrial cardiomyocyte_MT high,HCL,Fetal-Heart1,Heart,Atrial cardiomyocyte_MT high,Atrial cardiomyocyte,cardiac muscle cell,心肌细胞
HCL_Heart_Atrial cardiomyocyte_MYH6 high,HCL,Fetal-Heart1,Heart,Atrial cardiomyocyte_MYH6 high,Atrial cardiomyocyte,cardiac muscle cell,心肌细胞
MCA_Heart_Atrial cardiomyocyte_Myl7 high,MCA,Three-Weeks-Heart,Heart,Atrial cardiomyocyte_Myl7 high,Atrial cardiomyocyte,cardiac muscle cell,心肌细胞
HCL_Heart_Atrial cardiomyocyte_NPPA high,HCL,Fetal-Heart2,Heart,Atrial cardiomyocyte_NPPA high,Atrial cardiomyocyte,cardiac muscle cell,心肌细胞
HCL_Heart_Atrial cardiomyocyte_NPPA high,HCL,Fetal-Heart1,Heart,Atrial cardiomyocyte_NPPA high,Atrial cardiomyocyte,cardiac muscle cell,心肌细胞
MCA_Lung_Axin2 positive myofibrogenic progenitor cell_Acta2 high,MCA,Lung-Mesenchyme,Lung,Axin2 positive myofibrogenic progenitor cell_Acta2 high,Axin2 positive myofibrogenic progenitor cell,fibroblast,成纤维细胞
MCA_Lung_Axin2 positive myofibrogenic progenitor cell_Cox4i2 high,MCA,Lung-Mesenchyme,Lung,Axin2 positive myofibrogenic progenitor cell_Cox4i2 high,Axin2 positive myofibrogenic progenitor cell,fibroblast,成纤维细胞
MCA_Adrenal-Gland_B cell,MCA,Adult-Adrenal-Gland,Adrenal-Gland,B cell,B cell,B cell,B细胞
MCA_Bladder_B cell,MCA,Two-Years-Bladder,Bladder,B cell,B cell,B cell,B细胞
HCL_Bone-Marrow_B cell,HCL,Adult-Bone-Marrow2,Bone-Marrow,B cell,B cell,B cell,B细胞
MCA_Bone-Marrow_B cell,MCA,Bone-Marrow,Bone-Marrow,B cell,B cell,B cell,B细胞
HCL_Brain_B cell,HCL,Adult-Cerebellum1,Brain,B cell,B cell,B cell,B细胞
MCA_Brain_B cell,MCA,One-Year-Brain,Brain,B cell,B cell,B cell,B细胞
MCA_Brain_B cell,MCA,Three-Weeks-Brain,Brain,B cell,B cell,B cell,B细胞
MCA_Heart_B cell,MCA,Eighteen-Months-Heart,Heart,B cell,B cell,B cell,B细胞
MCA_Heart_B cell,MCA,Ten-Days-Heart,Heart,B cell,B cell,B cell,B细胞
MCA_Heart_B cell,MCA,Two-Years-Heart,Heart,B cell,B cell,B cell,B细胞
HCL_Intestine_B cell,HCL,Adult-Rectum1,Intestine,B cell,B cell,B cell,B细胞
MCA_Intestine_B cell,MCA,Eighteen-Months-Intestine,Intestine,B cell,B cell,B cell,B细胞
MCA_Intestine_B cell,MCA,One-Year-Intestine,Intestine,B cell,B cell,B cell,B细胞
MCA_Intestine_B cell,MCA,Three-Weeks-Intestine,Intestine,B cell,B cell,B cell,B细胞
MCA_Intestine_B cell,MCA,Two-Years-Intestine,Intestine,B cell,B cell,B cell,B细胞
HCL_Kidney_B cell,HCL,Adult-Kidney2,Kidney,B cell,B cell,B cell,B细胞
MCA_Kidney_B cell,MCA,Adult-Kidney,Kidney,B cell,B cell,B cell,B细胞
MCA_Kidney_B cell,MCA,One-Year-Kidney,Kidney,B cell,B cell,B cell,B细胞
MCA_Liver_B cell,MCA,Eighteen-Months-Liver,Liver,B cell,B cell,B cell,B细胞
MCA_Liver_B cell,MCA,Ten-Days-Liver,Liver,B cell,B cell,B cell,B细胞
HCL_Lung_B cell,HCL,Adult-Lung3,Lung,B cell,B cell,B cell,B细胞
MCA_Lung_B cell,MCA,Neonatal-Lung,Lung,B cell,B cell,B cell,B细胞
MCA_Lung_B cell,MCA,Ten-Days-Lung,Lung,B cell,B cell,B cell,B细胞
MCA_Lung_B cell,MCA,Three-Weeks-Lung,Lung,B cell,B cell,B cell,B细胞
MCA_Pancreas_B cell,MCA,Pancreatic-Islet,Pancreas,B cell,B cell,B cell,B细胞
MCA_Pancreas_B cell,MCA,Adult-Pancreas,Pancreas,B cell,B cell,B cell,B细胞
HCL_Peripheral-Blood_B cell,HCL,Adult-Peripheral-Blood1,Peripheral-Blood,B cell,B cell,B cell,B细胞
MCA_Peripheral-Blood_B cell,MCA,Peripheral-Blood,Peripheral-Blood,B cell,B cell,B cell,B细胞
MCA_Placenta_B cell,MCA,Placenta,Placenta,B cell,B cell,B cell,B细胞
MCA_Prostate_B cell,MCA,Adult-Prostate,Prostate,B cell,B cell,B cell,B细胞
MCA_Prostate_B cell,MCA,Eighteen-Months-Prostate,Prostate,B cell,B cell,B cell,B细胞
MCA_Prostate_B cell,MCA,One-Year-Prostate,Prostate,B cell,B cell,B cell,B细胞
MCA_Spleen_B cell,MCA,Adult-Spleen,Spleen,B cell,B cell,B cell,B细胞
MCA_Spleen_B cell,MCA,Eighteen-Months-Spleen,Spleen,B cell,B cell,B cell,B细胞
MCA_Spleen_B cell,MCA,One-Year-Spleen,Spleen,B cell,B cell,B cell,B细胞
MCA_Stomach_B cell,MCA,Two-Years-Stomach,Stomach,B cell,B cell,B cell,B细胞
MCA_Thymus_B cell,MCA,Adult-Thymus,Thymus,B cell,B cell,dendritic cell,树突状细胞
MCA_Uterus_B cell,MCA,Adult-Uterus,Uterus,B cell,B cell,B cell,B细胞
MCA_Uterus_B cell,MCA,One-Year-Uterus,Uterus,B cell,B cell,B cell,B细胞
MCA_Uterus_B cell,MCA,Two-Years-Uterus,Uterus,B cell,B cell,B cell,B细胞
HCL_Bone-Marrow_B cell (Centrocyte),HCL,Adult-Bone-Marrow-CD34N,Bone-Marrow,B cell (Centrocyte),B cell (Centrocyte),B cell,B细胞
HCL_Bone-Marrow_B cell (Centrocyte),HCL,Adult-Bone-Marrow-CD34P,Bone-Marrow,B cell (Centrocyte),B cell (Centrocyte),B cell,B细胞
HCL_Bone-Marrow_B cell (Centrocyte),HCL,Adult-Bone-Marrow1,Bone-Marrow,B cell (Centrocyte),B cell (Centrocyte),B cell,B细胞
HCL_Liver_B cell (Centrocyte),HCL,Fetal-Liver1,Liver,B cell (Centrocyte),B cell (Centrocyte),B cell,B细胞
HCL_Peripheral-Blood_B cell (Centrocyte),HCL,Adult-Peripheral-Blood4,Peripheral-Blood,B cell (Centrocyte),B cell (Centrocyte),B cell,B细胞
