index,db,name,tissue,ann,ann_simplify,CL,translate
MCA_Testis_Peritubular myoid_Rgs5 high,MCA,Neonatal-Testis,Testis,Peritubular myoid_Rgs5 high,Peritubular myoid,peritubular myoid cell,管周肌样细胞
HCL_Stomach_Pit cell,HCL,Fetal-Stomach2,Stomach,Pit cell,Pit cell,foveolar cell of stomach,胃小凹细胞
HCL_Stomach_Pit cell,HCL,Fetal-Stomach1,Stomach,Pit cell,Pit cell,foveolar cell of stomach,胃小凹细胞
MCA_Stomach_Pit cell,MCA,Ten-Days-Stomach,Stomach,Pit cell,Pit cell,foveolar cell of stomach,胃小凹细胞
MCA_Stomach_Pit cell,MCA,Three-Weeks-Stomach,Stomach,Pit cell,Pit cell,foveolar cell of stomach,胃小凹细胞
MCA_Stomach_Pit cell,MCA,Two-Years-Stomach,Stomach,Pit cell,Pit cell,foveolar cell of stomach,胃小凹细胞
MCA_Stomach_Pit cell_2210407C18Rik high,MCA,Adult-Stomach,Stomach,Pit cell_2210407C18Rik high,Pit cell,foveolar cell of stomach,胃小凹细胞
HCL_Stomach_Pit cell_FOXQ1 high,HCL,Adult-Stomach1,Stomach,Pit cell_FOXQ1 high,Pit cell,foveolar cell of stomach,胃小凹细胞
MCA_Stomach_Pit cell_Gkn2 high,MCA,Neonatal-Stomach,Stomach,Pit cell_Gkn2 high,Pit cell,foveolar cell of stomach,胃小凹细胞
MCA_Stomach_Pit cell_Gm26917 high,MCA,Adult-Stomach,Stomach,Pit cell_Gm26917 high,Pit cell,foveolar cell of stomach,胃小凹细胞
MCA_Stomach_Pit cell_Krt19 high,MCA,One-Year-Stomach,Stomach,Pit cell_Krt19 high,Pit cell,foveolar cell of stomach,胃小凹细胞
MCA_Stomach_Pit cell_Krt20 high,MCA,Adult-Stomach,Stomach,Pit cell_Krt20 high,Pit cell,foveolar cell of stomach,胃小凹细胞
MCA_Stomach_Pit cell_Krt20 high,MCA,Eighteen-Months-Stomach,Stomach,Pit cell_Krt20 high,Pit cell,foveolar cell of stomach,胃小凹细胞
MCA_Stomach_Pit cell_Lypd8 high,MCA,One-Year-Stomach,Stomach,Pit cell_Lypd8 high,Pit cell,foveolar cell of stomach,胃小凹细胞
